district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Gumla,2023-01-17,205,46,375,4.58,1,0.56,4.71,7.34,3.1,1.07,12.23,7.7,1.85,360.1,1.79,313,29.3,14.4,85,12.7,174.8,Rice,Sandy,0,Rabi
Koderma,2023-01-18,283,32,544,4.89,0.76,0.81,1.65,14.39,1.03,10.14,15.6,5.61,1.58,451,1.56,144.4,20.3,122.8,71.3,1.2,215.6,Vegetables,Red Lateritic,0,Rabi
Jamtara,2023-01-19,238,34,594,5.23,1.8,0.79,0.46,3.63,4.49,9.92,23.35,6.79,0.38,196.4,0.21,154.9,13.7,64.4,55.7,10,167.4,Vegetables,Black,1,Rabi
East Singhbhum,2023-01-20,380,16,540,6,2.11,1.75,1.49,14.39,3.34,6.37,25.25,8.25,2.99,52.7,0.63,100.4,15.5,58.1,23.8,7.6,174.7,Rice,Black,0,Rabi
Giridih,2023-01-21,312,60,320,5.85,0.65,0.93,0.2,19.35,1.2,10.13,19.58,5.99,1.77,102.2,1.28,218.1,22.9,124.6,97.5,1.6,123.4,Vegetables,Red Lateritic,0,Rabi
Ranchi,2023-01-22,346,11,341,5.91,1.47,1.1,4.89,10.8,3.12,5.07,36.61,7.4,0.87,95.9,1.24,128,22.3,59.3,51.5,11.6,136.2,Pulses,Sandy,0,Rabi
Palamu,2023-01-23,178,22,408,5.23,0.86,0.64,4.12,8.36,1.04,15.58,16.83,5.67,2.47,362.5,0.97,95,24.2,110.1,52.2,5.5,123.4,Rice,Red Lateritic,0,Rabi
Dumka,2023-01-24,300,28,255,5.94,1.96,1.3,3.53,19.43,0.51,17.68,12.6,7.43,0.21,148.8,1.66,306,21.9,59.6,50.8,12.5,193.9,Millets,Sandy,0,Rabi
Simdega,2023-01-25,101,46,449,4.89,0.21,1.68,4.78,8.86,3.32,3.3,23.07,8.41,2.61,356.7,1.84,109.7,32,162.9,50.1,0.3,109.5,Rice,Red Lateritic,0,Rabi
Latehar,2023-01-26,140,36,495,6.67,1.21,0.52,4.29,16.81,2.83,16.31,20.37,5.86,0.5,476.4,1.49,393.2,23.3,186.2,29.9,14.2,72.6,Rice,Sandy,0,Rabi
Koderma,2023-01-27,296,38,341,8.01,0.91,0.26,0.63,16.73,2.14,9.28,38,8.17,1.75,171.8,2.07,194.9,15.7,0.2,25.7,4.5,56.4,Wheat,Alluvial,0,Rabi
Gumla,2023-01-28,125,52,198,6.88,1.04,1.76,2.61,1.38,3.22,3.58,36.6,6.64,2.28,277.2,0.35,349.4,11.8,74.9,54.5,5.2,173.4,Vegetables,Loamy,0,Rabi
Ranchi,2023-01-29,300,17,320,8.01,1.21,1.5,2.62,8.19,4.16,14.83,15.48,7.85,0.1,445.4,2.24,130.3,12.1,76,49,13.2,97.8,Rice,Alluvial,0,Rabi
Godda,2023-01-30,96,37,220,6.39,1.5,0.89,2.46,13.38,4.67,14.15,14.71,8.47,2.72,476.3,1.08,144.5,31.8,170.5,62.4,4.1,215.4,Millets,Sandy,0,Rabi
Jamtara,2023-01-31,191,53,160,4.96,1.27,0.57,3.96,10.04,0.11,2.97,36.89,6.22,2.87,222.5,0.83,223.6,38.4,181.6,35,7.1,235.4,Millets,Sandy,0,Rabi
Sahebganj,2023-02-01,50,51,86,8.25,2.41,0.26,3.8,10.03,4.36,13.76,14.2,5.53,2.32,182.4,0.17,383.6,18.8,110.7,74.4,0.1,186.2,Vegetables,Alluvial,0,Rabi
Ranchi,2023-02-02,200,17,83,5.95,0.55,2,1.86,15.43,1.66,2.74,36.29,6.33,2.78,242.5,0.83,61.9,32.5,32.4,22.1,9.6,178.5,Rice,Red Lateritic,0,Rabi
East Singhbhum,2023-02-03,332,25,516,7.3,2.21,0.21,0.6,18.78,4.04,14,33.75,5.66,1.96,335.8,1.37,260.4,36.3,180.3,85.9,11.4,201.8,Wheat,Black,0,Rabi
Lohardaga,2023-02-04,263,6,538,7.9,0.39,0.57,1.75,7.36,2.42,3.3,10.85,7.67,0.16,201,2.46,236,19.7,165.1,80.9,11.3,213.4,Wheat,Black,0,Rabi
Palamu,2023-02-05,272,47,252,5.49,0.42,0.74,3.36,15.07,2.13,19.99,28.89,5.51,2.67,328.4,1.82,373.1,23.2,129.6,73.5,12,212.2,Rice,Red Lateritic,0,Rabi
Pakur,2023-02-06,283,52,140,8.12,1.6,0.73,3.35,1.76,4.55,19.19,16.65,7.33,2.67,55.3,1.49,145.7,20.4,119.7,52.5,10.2,159.6,Pulses,Alluvial,0,Rabi
Gumla,2023-02-07,305,19,555,6.5,1.78,0.14,0.95,18.92,4.51,11.86,36.68,8.31,0.99,138.2,0.43,159.7,26.7,20.9,37.2,3,83.8,Wheat,Loamy,0,Rabi
Saraikela Kharsawan,2023-02-08,176,7,319,4.67,0.97,0.61,0.15,6.56,4.37,5.56,25.93,8.46,1.05,350.8,0.11,257.9,38.4,169.3,47,14.6,226.1,Wheat,Red Lateritic,0,Rabi
Jamtara,2023-02-09,55,46,329,5.15,1.01,1.1,1.52,9.1,2.7,4.93,37.77,6.77,2.46,432,0.97,373.6,14.1,137.4,92.7,5.3,200.7,Maize,Sandy,0,Rabi
Ramgarh,2023-02-10,302,44,597,8.04,0.37,0.43,1.83,3.04,3.71,13.08,18.51,7.89,2.62,218.2,2.45,321.6,27.5,14.6,39.1,2.8,226.8,Pulses,Black,0,Rabi
Godda,2023-02-11,172,37,229,7.46,0.9,0.41,2.99,16.31,0.68,16.42,17.26,5.51,2.04,191.8,1.95,212.6,36.4,67.2,26.7,4.7,82.5,Maize,Sandy,0,Rabi
Garhwa,2023-02-12,78,41,224,5.98,1.7,1.36,1.84,7.91,2.3,15.75,21.87,7.36,0.91,271.4,0.37,352.7,14.2,122.8,50.9,2,212.6,Pulses,Sandy,0,Rabi
Jamtara,2023-02-13,325,16,371,8.3,0.67,1.76,4.93,18.81,3.72,3.9,13.99,5.69,1.74,291.9,1.58,320,21.8,180.4,73.2,1.9,106.2,Pulses,Alluvial,0,Rabi
Ranchi,2023-02-14,143,29,242,5.84,0.4,1.85,2.34,4.92,3.5,12.54,14.05,7,2.88,446.6,1.77,110.4,19.7,130.4,58.2,0.9,226.5,Wheat,Red Lateritic,0,Rabi
Garhwa,2023-02-15,236,15,200,5.3,2.43,0.3,2.97,8.69,3.51,3.87,35.4,6.35,2.02,286.7,1.5,376.2,33,97.8,50.2,11,223.9,Rice,Sandy,0,Rabi
Chatra,2023-02-16,238,15,359,8.34,1.82,0.89,1.74,10.9,2.66,9.99,13.03,5.9,0.78,196.7,0.47,332.8,13.9,184.1,52.1,12.1,81.3,Wheat,Alluvial,0,Rabi
Pakur,2023-02-17,232,31,590,6.84,2.44,1.09,0.47,8.88,2.96,11.83,39.91,5.87,0.87,466.6,0.36,107.5,15.9,176.2,71.4,12.1,151.8,Pulses,Loamy,0,Rabi
Garhwa,2023-02-18,257,29,316,4.7,0.7,1.79,3.86,16.12,0.33,5.51,32.74,6.53,1.87,154,1.39,367.1,20,92.6,29.2,7,196.9,Rice,Red Lateritic,0,Rabi
Pakur,2023-02-19,338,43,534,5.24,0.29,1.86,0.83,19.46,3.26,19.24,35.62,6.32,0.69,264.2,1.98,120.1,11.1,11.2,41.3,1,79.7,Millets,Red Lateritic,0,Rabi
Palamu,2023-02-20,254,7,507,7.66,1.04,0.65,2.25,4.26,4.79,10.2,23.49,6.75,2.48,191.6,2.11,281,33.8,3,59.8,11.8,188.9,Maize,Black,0,Rabi
Simdega,2023-02-21,320,54,589,7.16,2.48,1.25,0.85,5.17,1.83,11.85,31.35,7.06,1.35,492,0.51,206.9,29.9,29,98.9,9.4,204.5,Pulses,Black,0,Rabi
Dhanbad,2023-02-22,256,14,135,8.44,1.19,0.16,4.64,13.75,3.4,10.87,22.59,7.06,2.66,339,1.68,70.8,26.9,116,47.3,2,67.3,Maize,Alluvial,0,Rabi
Hazaribagh,2023-02-23,157,30,431,5.09,1.57,0.58,3.3,15.31,1.49,14.95,38.71,6.93,0.23,208.9,0.64,60.6,20.6,128.1,57.1,4,240.5,Rice,Sandy,0,Rabi
Sahebganj,2023-02-24,315,8,450,6.44,2.08,1.19,1.4,3.49,1.53,5.14,34.1,5.84,1.66,471.2,0.8,130.2,32.6,41.7,20.6,14.9,111.5,Maize,Loamy,0,Rabi
Simdega,2023-02-25,357,15,532,5.45,1.28,1.89,3.9,1.21,0.92,15.33,37.86,7.62,1.6,382.9,1.52,200.8,33.2,189.4,32.9,10.3,69.2,Rice,Black,0,Rabi
Lohardaga,2023-02-26,354,46,196,5.75,0.32,1.14,1.79,1.44,4.37,14.58,37.84,5.95,2.26,338.4,0.71,196.2,15.1,109.7,20.2,6.9,239.2,Millets,Red Lateritic,0,Rabi
Latehar,2023-02-27,130,56,250,5.61,2.36,0.18,2.37,11.49,1.59,17.21,34.52,5.51,2.3,51.1,1.55,219.9,21.7,120.2,74.1,11.8,109.6,Wheat,Sandy,0,Rabi
Dumka,2023-02-28,306,14,565,6.49,0.99,1.81,1.06,18.57,3.72,2.84,33.31,7.25,0.3,453,0.51,340.9,21.8,144.2,85.4,3.9,241.1,Maize,Loamy,1,Rabi
Jamtara,2023-03-01,186,41,524,5.59,2.31,0.18,2.56,6.27,3.23,15.77,35.55,6.45,2.5,50.7,0.07,64.3,13,120,55,12.6,136,Pulses,Black,1,Zaid
Ramgarh,2023-03-02,272,24,124,4.87,1.36,0.62,1.45,15.73,4.14,14.44,22.23,7.51,1.72,440,0.12,184,26.3,8.5,33.5,9.3,178.4,Rice,Sandy,0,Zaid
Dumka,2023-03-03,183,32,505,8.26,1.64,0.95,1.27,9.56,4.01,18.59,28.81,7.3,0.99,83.4,1.36,380,19.6,20.4,83.6,7.6,210.7,Maize,Black,0,Zaid
Lohardaga,2023-03-04,314,59,390,4.96,0.98,2,2.92,5.29,2.67,18.01,35.29,8.47,2.94,302.2,0.64,145.9,18.7,184.7,81.6,3.3,245.3,Pulses,Red Lateritic,0,Zaid
Ranchi,2023-03-05,60,16,567,5.86,2.23,0.98,1.62,12.06,4.9,14.39,27.68,5.53,1.8,355.7,1.25,154.1,36.1,165.1,88.5,0.9,209.9,Pulses,Black,0,Zaid
East Singhbhum,2023-03-06,350,28,271,5.34,2.48,0.89,1.51,1.57,3.59,5.67,17.83,7.86,1.27,402.7,2.32,79.4,14.7,36.1,81.9,8.1,219.3,Wheat,Sandy,0,Zaid
Dhanbad,2023-03-07,94,57,265,7.85,0.28,1.26,2.86,1.36,4.61,15.75,20.83,7.81,1.15,359.3,0.19,93.1,22.7,67.5,70.2,10,65.5,Millets,Alluvial,0,Zaid
Giridih,2023-03-08,106,8,139,8.39,2.07,1.72,2.56,13.69,3.68,13.86,37.59,8.22,2.97,93.2,0.19,172.7,29.7,56.4,59.8,2.2,239.6,Vegetables,Alluvial,0,Zaid
Deoghar,2023-03-09,246,5,240,6.29,1.97,1.59,4.01,1.39,1.93,9.09,28.85,7.85,1.41,398,0.28,141.8,13.5,143.5,67.6,10.5,110.3,Pulses,Sandy,0,Zaid
Gumla,2023-03-10,353,56,492,6.22,2.47,1.65,2.72,17.76,0.3,8.4,27.41,5.7,0.65,231.9,2.21,174.5,32.1,172.7,88.4,1.4,106,Vegetables,Sandy,0,Zaid
Dhanbad,2023-03-11,108,32,496,5.78,2.36,0.2,0.49,1.35,2.88,16.15,31.4,5.91,1.08,204.4,0.94,104.6,37,109.1,21,0.1,210.3,Vegetables,Sandy,0,Zaid
Pakur,2023-03-12,90,27,594,6.87,1.44,0.83,0.29,15.84,4.87,3.99,14.36,6.73,0.99,343.9,1.97,208.3,34.3,128.8,42.9,7,229.8,Pulses,Black,0,Zaid
Hazaribagh,2023-03-13,387,53,531,7.47,2.44,1.89,1.61,17.92,0.69,6.25,38.47,7.06,2.29,344,1.31,200.9,21.9,95.8,68.3,1.5,107.5,Maize,Black,0,Zaid
Ranchi,2023-03-14,308,14,526,4.62,1.73,0.54,1.03,4.4,3.6,17.38,33.03,6.56,0.22,467.9,2.26,152.5,11.4,87.1,95,4.8,100.4,Vegetables,Black,1,Zaid
Garhwa,2023-03-15,300,6,178,7.72,2.07,1.26,1.92,19.53,4.7,6.92,35.82,7.9,0.39,313.6,0.03,299.8,18.7,197.9,76.1,1.5,144.2,Wheat,Alluvial,0,Zaid
Deoghar,2023-03-16,339,50,81,4.81,0.67,0.16,2.16,9.63,3.61,9.23,22.68,5.96,1.98,477.1,2.27,176.5,17.7,109.6,87.1,12.9,171.1,Maize,Red Lateritic,0,Zaid
Ramgarh,2023-03-17,162,20,585,6.59,1.45,0.89,1.37,13.04,3.28,5.77,17.09,7.97,0.46,277.5,0.24,102.8,23.9,162.8,73.3,0.9,181.8,Vegetables,Black,0,Zaid
Dhanbad,2023-03-18,54,51,594,8.28,0.95,0.58,4.56,18.77,0.56,11.6,18.17,6.08,0.55,482.1,1.24,319.8,16.6,132.1,93.6,0.4,98.2,Maize,Black,0,Zaid
Pakur,2023-03-19,234,28,551,7.79,1.78,1.81,4.93,6.12,0.57,6.23,34.65,8.09,1.27,147.4,2.35,226.8,13.7,43.3,39.9,4.2,51.7,Pulses,Black,0,Zaid
Hazaribagh,2023-03-20,291,16,483,7.42,0.21,0.22,1.79,9.85,3.35,3.96,29.75,6.59,1.89,258.3,1.26,384.5,14.7,50,58.4,3.1,114.3,Wheat,Sandy,0,Zaid
Godda,2023-03-21,267,57,565,7.27,1.11,0.96,2.28,18.6,1.09,6.59,14.24,8.37,0.8,285.4,1.83,60,30.7,7.7,99.1,13.7,109.9,Pulses,Black,0,Zaid
Deoghar,2023-03-22,390,31,256,6.26,0.51,0.87,1.12,5.17,4.59,17.43,23.41,8,1.04,58.6,2.05,208.7,17,34.9,98.5,5.1,133.4,Wheat,Sandy,0,Zaid
Garhwa,2023-03-23,245,60,511,8.03,2.38,1.02,1.87,10.28,4.75,2.03,26.84,8.44,2.01,231.3,0.56,328,28.6,91.6,71.7,11.4,60.9,Wheat,Black,1,Zaid
Jamtara,2023-03-24,283,52,81,5.26,2.25,1.61,0.75,15.54,2.49,4.21,34.31,7.74,1.84,470.7,1.39,121.2,31.9,88.2,58.7,7.4,146.3,Millets,Sandy,0,Zaid
Gumla,2023-03-25,162,42,493,7.09,1.85,1.24,3.95,13.42,4.55,14.83,15.67,7.61,2.87,421.7,0.94,182.3,10.7,0.1,33.4,13.3,186.2,Millets,Sandy,0,Zaid
Dumka,2023-03-26,71,42,75,7.81,0.97,1.05,3.45,2.58,3.56,12.23,29.06,8.25,0.83,426.4,0.09,351.6,26.7,178.7,76.4,2.8,224.5,Rice,Alluvial,0,Zaid
East Singhbhum,2023-03-27,282,8,437,5.92,2.46,0.8,4.83,15.21,2.01,7.58,12.55,5.87,1.46,162.2,0.99,285.6,18.6,187.9,41.5,0.1,223,Maize,Sandy,0,Zaid
Dhanbad,2023-03-28,267,33,520,6.86,0.68,0.92,3.91,1.91,0.25,18.18,33.75,6.58,0.87,278.6,0.12,258.4,24.7,114.1,54,6.2,50.2,Wheat,Loamy,1,Zaid
Chatra,2023-03-29,266,51,371,4.59,1.85,1.22,3.39,15.48,4.87,8.85,11.61,5.65,0.75,289.6,0.91,332.4,21.3,80.4,31.1,6.2,129.4,Pulses,Sandy,0,Zaid
Jamtara,2023-03-30,214,14,177,7.7,0.51,0.57,0.39,10.76,0.45,12.34,24.39,7.61,2.04,229,1.38,308.3,32.4,77.7,91.4,11.5,188.9,Vegetables,Alluvial,0,Zaid
Sahebganj,2023-03-31,280,45,558,8.09,2.16,0.81,3.16,14.35,0.88,3.07,35.13,6.79,1.48,351.8,1.67,318.2,37.9,35.1,92.7,0.8,249.3,Maize,Black,0,Zaid
Khunti,2023-04-01,400,33,141,6.91,0.2,1.31,0.12,11.23,3.18,14.02,12.17,7.83,0.4,71,1.69,90,36.3,8.7,83,6.6,67.5,Wheat,Sandy,0,Zaid
Saraikela Kharsawan,2023-04-02,233,42,482,5.77,0.97,1.21,2.98,8.86,1.96,8.84,23.54,6.16,2.77,219.2,1.92,185.7,22,80.9,28.1,2.4,243.6,Pulses,Red Lateritic,0,Zaid
Koderma,2023-04-03,242,24,364,6.89,1.19,0.21,3.82,8.23,4.19,4.96,14.77,5.79,2.51,135.9,1.64,76.8,24.9,143.7,55.2,13.9,138,Wheat,Sandy,0,Zaid
Garhwa,2023-04-04,276,59,235,6.27,0.77,1.77,0.37,13.14,3.59,14.05,17.95,7.77,0.12,75.7,1.6,131.9,35.2,75.2,70.7,10.2,115.9,Vegetables,Sandy,0,Zaid
Lohardaga,2023-04-05,352,19,63,7.99,2.29,1.68,4.18,9.49,0.29,1.73,20.96,5.96,1.39,289.5,2.03,129.4,34.1,119.1,77.7,9,103.2,Rice,Alluvial,0,Zaid
East Singhbhum,2023-04-06,78,41,345,4.93,2.07,0.89,3.6,16.68,4.19,11.26,26.55,8.41,1.48,342.9,0.96,124.4,28.2,118,74.3,4.3,122.3,Millets,Sandy,0,Zaid
Ranchi,2023-04-07,208,42,196,8.32,1.62,0.91,4.41,11.93,4.73,8.23,34.53,7.61,1.07,425,0.65,366.8,27,138.2,56.1,10.8,143.4,Rice,Alluvial,0,Zaid
Hazaribagh,2023-04-08,310,40,102,5.73,1.31,1.05,1.79,13.95,3.64,7.25,16.66,6.04,1.02,349.7,1.54,122.3,24,141.7,59.4,0.8,215.3,Wheat,Sandy,0,Zaid
West Singhbhum,2023-04-09,380,7,233,6.76,2.27,1.61,4.9,12.39,4.21,12.67,18.83,6.29,1.78,424.6,1.18,140.6,22.8,93.8,49.7,3.3,63.8,Rice,Sandy,0,Zaid
Koderma,2023-04-10,137,59,268,4.78,0.63,1.47,4.26,18.36,0.26,10.91,37.23,7.72,1.77,293.9,2.37,235.6,38.8,123.7,92.2,9.8,78.6,Pulses,Red Lateritic,0,Zaid
Giridih,2023-04-11,154,43,208,7.06,2.09,1.19,3.24,14.6,0.2,8.16,28.45,7.75,1.96,276.7,2.37,287.7,30.1,74.4,86.2,7,109.9,Pulses,Sandy,0,Zaid
Chatra,2023-04-12,352,56,550,5.65,0.35,1.42,1.63,17.18,0.18,2.62,17.93,6.58,0.21,97.4,1.09,285.9,38.5,100,72,2.3,51.3,Millets,Red Lateritic,0,Zaid
Dhanbad,2023-04-13,72,41,328,7.68,1,0.77,2.45,11.06,0.82,11.59,31.82,7.79,1.18,187,2.44,205.8,33.9,32.7,51,9.5,74.4,Millets,Alluvial,0,Zaid
Dhanbad,2023-04-14,248,36,177,5.23,2.37,0.13,1.33,19.81,3.59,1.74,19.71,5.93,1.07,245.8,1.65,360.2,28.6,143.8,98.6,0.6,223.7,Rice,Sandy,0,Zaid
Dumka,2023-04-15,257,7,154,6.53,1.64,1.01,0.36,12.45,4.03,16.04,34.22,8.2,0.39,232,1.45,352.6,25.1,125.4,51.3,0.6,221,Vegetables,Loamy,1,Zaid
Lohardaga,2023-04-16,309,14,553,7.6,1.55,1.1,0.83,12.24,0.89,4.34,26.71,5.68,0.13,144.5,1.31,117,25.8,22.8,56.5,2.5,171.5,Pulses,Black,0,Zaid
Garhwa,2023-04-17,221,10,533,6.3,0.6,1.87,2.03,11.56,2.6,11.27,34.32,5.99,2.99,188.1,2.45,355.7,16.9,125.7,46.9,3.1,124.1,Rice,Loamy,1,Zaid
Chatra,2023-04-18,236,38,162,5.38,1.41,1.62,1.46,6.6,4.5,13.17,24.22,7.75,0.71,124.9,1.61,204.9,10.9,6.2,53.2,1.9,212.7,Rice,Sandy,0,Zaid
Koderma,2023-04-19,291,15,385,6.76,1.64,1.3,3.16,4.4,2.56,16.28,19.62,6.51,1.37,70.5,0.92,298.1,31.1,95.1,85.3,11.7,158.6,Pulses,Sandy,0,Zaid
Hazaribagh,2023-04-20,211,41,258,6.68,0.73,1.66,2.3,12.11,1.73,3.17,38.23,8.4,1.76,402.5,1.26,352.2,10.2,171.8,32.5,7.8,211.9,Pulses,Loamy,0,Zaid
Koderma,2023-04-21,246,38,534,8.4,1.03,0.32,0.49,8.22,1.36,12.16,15.12,6.04,2.22,357.7,2.07,184.8,17.9,132,39.9,9.3,86.6,Pulses,Black,0,Zaid
Khunti,2023-04-22,292,25,546,8.23,1.45,1.84,2.02,3.75,3.93,18.32,25.94,5.89,1.57,182.8,0.4,266.1,28.1,36,21.6,12.8,107.8,Vegetables,Black,0,Zaid
Gumla,2023-04-23,373,46,58,6.89,2.27,0.78,1.94,10.12,3.21,17.92,26.85,7.42,1.77,236,2.06,182.6,37.9,187.2,45.1,9.9,177.1,Rice,Sandy,0,Zaid
Koderma,2023-04-24,121,60,506,7.93,2.11,0.44,0.84,12.66,4.16,14.81,23.24,6.84,1.11,496.9,0.79,260.5,33,110.6,56.8,3.5,55.8,Millets,Black,0,Zaid
Pakur,2023-04-25,378,58,434,5.26,0.99,0.16,0.27,2.64,2.18,7.36,39.25,8.28,2.3,444.3,0.78,217.8,10.2,158.4,37.7,0.9,89.9,Rice,Red Lateritic,0,Zaid
Godda,2023-04-26,254,19,165,8.2,1.63,0.86,4.89,12.56,4.6,18.23,15.91,6.61,0.39,358.2,0.84,374.7,17.7,112.7,49.2,5.5,233.9,Maize,Alluvial,0,Zaid
Chatra,2023-04-27,152,39,440,7.67,1.94,1.61,2.66,9.11,1.77,2.5,23.69,8.18,2.28,204,2.49,154.8,26.6,105.3,42.6,11.6,141.8,Vegetables,Alluvial,0,Zaid
Jamtara,2023-04-28,102,60,155,6.27,0.45,1.72,3.76,19.47,1.2,16.86,11.83,6.73,2.23,308.4,2.25,95.6,18.5,7,31.3,3.8,210.2,Pulses,Sandy,0,Zaid
Latehar,2023-04-29,56,14,481,6.44,1.44,0.78,0.37,18.01,0.59,1.67,36.33,5.54,2.59,51.3,0.87,117.6,12.5,150.6,28.9,14.2,146.7,Millets,Loamy,0,Zaid
Deoghar,2023-04-30,273,33,65,8.42,0.79,0.3,1.25,7.71,4.73,2.28,24.58,5.73,2.62,258.1,1.71,159.2,11,131.2,24.8,8.8,66.1,Rice,Alluvial,0,Zaid
Ranchi,2023-05-01,190,26,246,6.25,2.17,0.4,2.99,15.57,2.1,19.06,37.08,5.58,0.31,85.1,1.61,224.5,35.4,59.6,94.6,9.9,242.6,Maize,Loamy,0,Zaid
Chatra,2023-05-02,236,47,227,7.99,0.44,1.25,0.67,19.9,4.08,2.63,26.98,7.93,0.6,189.8,1.44,196.1,22,129.8,50.7,1.5,111.7,Maize,Alluvial,0,Zaid
Garhwa,2023-05-03,149,29,223,5.15,1.29,0.48,2.35,9.96,4.83,3.93,16.06,8,1.15,75.3,2.29,312.4,36,73.5,81.3,8,233.3,Millets,Sandy,0,Zaid
Garhwa,2023-05-04,208,33,200,8.03,2.46,0.61,4.54,2.57,0.58,14.82,20.05,5.82,2.07,447,1.66,355.5,19.6,113.4,65.6,12.1,190.8,Vegetables,Alluvial,0,Zaid
Sahebganj,2023-05-05,249,59,130,4.99,1.36,0.77,1.83,17.03,0.17,13.18,16.29,6.41,2.17,458.6,0.18,176.3,35,105.3,76.8,6.5,132.6,Wheat,Sandy,0,Zaid
Jamtara,2023-05-06,208,40,555,7.12,1.59,0.34,2.47,11.62,3.87,17.83,15.05,6.87,2.43,259.5,0.66,136.2,32.9,58.5,77.4,1.4,181.9,Wheat,Black,0,Zaid
Pakur,2023-05-07,148,57,356,6.65,0.35,1.5,3.69,10.94,4.86,16.46,10.38,7.36,2.64,437.5,1.28,109.8,26.1,64.5,54.2,6.2,125.9,Rice,Sandy,0,Zaid
Deoghar,2023-05-08,249,20,129,6.29,0.43,0.68,0.9,1.47,2.24,15.8,34.13,7.79,0.44,120.1,2.5,372.9,21.1,56.9,76.6,9.9,186.1,Maize,Loamy,1,Zaid
Khunti,2023-05-09,253,36,189,5.46,2.44,0.63,4.95,2.71,2.18,6.12,10.58,8.13,2.64,179.5,1.63,167.1,35.7,45.2,35.2,1.5,203.5,Maize,Sandy,0,Zaid
